id,q,r
3094,"""There are a lot of people who God supposedly `` divinely `` helped , but he""","""Oh. Well , that 's because all those things happened during the Age of Law"""
3565,"""1. Interestingly enough one of those above also states ... 1. artificial selection Definition :""","""No. That 's ridiculous . The purpose imposed by man is what makes it artificial"""
1393,"""As usual , the Brady campaign is lying . The senate has passed the gun makers protection""","""My my you are up on the current events . Thanks for shedding light on this for"""
7960,""". So , can I not be considered `` ignorant `` for not thinking that evolution has""","""Well , it might be hard to convince people that you are n't ignorant of some"""
4607,"""I want to start off by saying that I am not a Christian. I was watching""","""I've been reading a lot of posts on the internet lately about abortion , and I"""
8507,"""Chuz is a pro-life activist. My contention is this : since joining the""","""1. 1 . I consider my arguments to be `` anti-elective abortion ``"""
9722,"""2. As I understand , some people have claimed that the civil war was justified because""","""1. I think that laws , like history , are written by the victors ."""
2514,""". So , Clive , everyone that believes that God created the earth is an XXXXX""",""". No . Anyone who sticks to beliefs that a god created the earth just 6,"""
8364,""". `` ... However , Collins takes pains to acknowledge that much of human nature likely has""",""". Ca n't you read ?"""
1392,"""1. `` In his encyclical Humani Generis , my predecessor Pius""","""B Evolution does not mention how life started , there is another Scientific Theory on the Origin"""
8485,"""Hey pandion , voting according to the rules of the California Constitution is not imposing any""","""Prop . 8. But what if it is unconstitutional , like Prop . 8 ?"""
3505,""". Oh , yes . In my experience , creationist scientists were always creationist long""","""4. Try a new experience . Check these names from that list ; David Catchp"""
6793,"""3. In states that have enacted bans against gay marriage . Divorce rates of traditional""","""In the former case there are fewer divorces. In the latter case , that '"""
668,"""DNA that is sufficiently similar and sufficiently widespread for the attainment of our target sequence to be""","""Oh , well . Apparently you want to talk molecular chemistry whereas I was hoping to discuss"""
7964,"""Omegamon/Ethmi 's argument is often 'we do n't want""","""You 've never hesitated to make it sound like we want to do away with law"""
9138,"""5. Fifth , do you believe the fetus is a person ? Why ?""","""It is n't a person because it does n't have a higher brain necessary for"""
8161,"""2. Since you brought up the questions , I wonder what your answer would be to""","""I don't think people have a right to kill themselves. I do n't think"""
1903,"""I agree with you that you are using Occam 's Razor as well . If""","""I don't believe in miracles. I think extraordinary claims require extraordinary evidence . There is"""
3886,"""Let 's limit education to just high school students. And while were at it ,""",""". OK , OK . This was not a very well thought out thread . Your points"""
7078,"""Not with me. Not with you Mr. Muddy Waters . It 's a""","""Smoking is bad. And there are plenty of people who smoke who do n't"""
3669,""". regardless , we have yet to see any evolution of new body parts or its so""","""Mutations are rare in fly populations. Why would that even be expected ? When you"""
18,"""Hi , I am a Christian. Well , I was n't an atheist for as""",""". um , yeah , you could say that ... ( wo n't argue ... left"""
55,""". No Montalban , fallacy or falsity will not persuade me to think a""","""2. `` The cultic flaw in Ayn Rand 's philosophy of Objectivism"""
7058,"""In the former case there are fewer divorces. In the latter case , that '""",""". Is the bible our constitution ?"""
3764,"""I don't believe in any gods , but thankyou for assuming anyone who disagrees""","""""I am not a politician. So why are you here ? Do you have anything"""
5654,"""This is a good thing. Normal folks , people who are not just trying to *""","""Yes. But it is OK to teach your religion in public school classrooms ? Is that"""
4651,"""3. What 's the difference between humans and chimps ? According to the blow""","""The article is wrong. The article is saying that it was genetic changes . Changes in"""
6330,"""No. No , God did n't say this BUT thanks for responding to a post""","""1. Number the children of Levi after the house of their fathers , by their families"""
303,"""I am a human being. Your question , which has been pointed out already , has""","""And how do you know what other animals can analyze ? Is that another supreme abilities of"""
2241,""" Originally posted by Calligirl Okay , here is how it went : God made the""","""That interpretation is fine except that God says , `` I WILL make a helper suitable for"""
351,"""4. Actually , with more data that changes the number of assumptions required , it is""","""3. Oh boy , trying to tie Bayesian statistics to the number of assumptions !"""
6637,"""The Gun Grabbers are no different than those who want to change the Constitution. The""",""". So its basicly an argument against those who wants to ban weapons without changing the"""
4612,"""Guns are God Almighty. I just became aware of a new movement : http :""","""Actually , if you spend more time on their website and research a little deeper , you"""
390,""". 1. gman , have you ever been pregnant ? 2 . Have you ever""","""1. 1 . No , but my Mom was , and my Sis was and"""
6137,"""Mr. Howard , I 'm not sure I understood your first question above . Are""","""4. You can not point to one word Jesus spoke that gave any person the right"""
6335,"""1. I have never heard anyone use the phrase , `` I am a human ``""","""1. Any belief system is a religion loosely defined . I 'd like to know"""
8329,"""Yes , I am sure you can also keep a Kelvinator. Yes , you can""","""Read the post , IF I can do A , then I am allowed to do B"""
2159,"""Like , I said , I ca n't take men 's position on abortion seriously""",""". Hmmm ... so , barren women can not have a valid point of view nor"""
7978,""" Originally posted by voiceofreason OK .... Well , that standard does n't show that""","""You do n't see how gun-control interferes with self-preserv"""
2646,"""and Alridons so Stevens ' recent equivocation and find it to be a""","""That 's not to say that the people should not have the right to protest against"""
3645,"""I like your screen name. It used to mean that , now it is just a""",""". Exactly where it is from . Great movie ."""
5459,""". If you had a rational thought on the subject , I would respond to this statement""","""So you are a soldier in this war and you are going off on a tangent"""
6431,"""Washington, D.C. -- U.S. court records from southwestern states clearly""","""The VPC is hardly a real source . If any thing what this shows is the"""
3161,"""4. The interesting thing about the 'quality of life ethic ' is that , in""","""Tell this to those infants and adults in the netherlands who are being euthan"""
3844,"""1. Incidentally , I am interested in your comment that natural selection is consistent with""","""3. Where has it been shown ? How is it used to make predictions about species"""
6084,"""Your selective memory is at work again . As I recall , in Waco military vehicles""","""Would guns in the hands of citizens have stopped that ? Or does publicity , which has"""
3208,"""You 're wrong. Of course they 're not the same thing , but you""","""Gun control laws in California don't protect the people of California . They don't even"""
3768,"""4. Now , anthropology , archeology , and forensics are constantly deciding that entities""","""""Yes. But you know that this is not what I was saying : We have"""
1899,"""“ Â “ In abstract , it might be tempting to imagine that ir""","""Â ” This is quite in line with BeheÂ ’ s statements in"""
274,"""Okay, so they are primarily American evangelical protestants at that , but that 's""","""Well , you will find claims amoung this group that 'If Jews understood their"""
9478,"""In spite of this , there is a majority of Americans who support gay marriage. In""","""1. I ca n't help but wonder if current majority public sentiment against alternative lifestyles"""
1984,"""No , I 'm not saying it 's OK to have an abortion. No""","""1. Thou Shalt Not Kill . Seems to be a pretty convenient verse to throw"""
275,"""It's not. Now , it 's RNA that seems to be `` running the""","""I am sorry for your loss. It seems apparent that you did n't understand what"""
1690,"""It 's senseless not to believe that Abortion is Planned Parenthood 's # 1 re""","""I just thought that your remark that Planned Parenthood always recommended an abortion was wrong . I"""
6307,"""No , this is not about abortion , and I think that is very clear . If""","""I'm not sure what you are talking about. Well the main difference is under the"""
6562,"""3. 3 . Rational is as rational does . If it is our goal to raise""","""Science. Well , that last bit applies to me , but scientists otherwise epitomize"""
6135,"""5. The universe has billions of stars , billions of planets , billions and billions of""",""". As Kronus explained , there are an infinite number of `` colors , `` because"""
1290,"""Dr. George Tiller , who joins the list of martyrs for ethical decency and""","""3. On Faith : Murder is Murder and Abortion is Not - Arthur Waskow"""
1672,"""1. If you answered yes to any or all of these situations : In the first""",""". Well right there , you used an oxymoron , `` Great `` and ``"""
2246,"""U.S. guns arm Mexican drug cartels - Los Angeles Times Mexican authorities have been""","""You 're starting to remind me an awful lot of reverend Jackson and reverend"""
6963,"""When we smoke , we emit smoke into the air. When we buy something at the""","""4. Cereal factories are n't that big of polluters . The largest poll"""
2841,""". Better yet , make health insurance coverage , for all but the most trivial of elect""","""Wow. Wow ! You really have been paying attention to the Democratic smear campaign of the"""
5354,"""I agree. You 're a bit late there , are n't you ? Marriage""","""Oh there is. oh sure there is . you would just have a lot of angry"""
1171,"""I was n't oversimplifying anything , only stating the obvious in that a wh""","""3. I 'm not arguing that gun control will change the nature of men-"""
2892,""". Of course , if you get a muslim in here making similar claims to the""","""I don't know if you 're a Christian or not , and I don't"""
6584,"""Actually , no , my understanding is that in most states the law does n't require""","""`` That it has been `` open to all for years `` carries no weight whatsoever."""
6303,"""5. I would expect nothing less from the women in my life . They 've""","""3. Did contraception fail ? In other words , maybe a difference between your situation and"""
8503,"""1. So you claim not to know what my sources are ( why else would I""","""What are they. And where is their source ?"""
5349,"""Mr. Ricker disagrees . Â¡Â°This is spin . This""",""". So if you 're really interested in enforcing gun laws , do n't support"""
8825,"""I am not sure what you are talking about. I must be VEEEERY mistaken""","""I have addressed the men , this is what I 'm talking about , it was"""
1673,"""http://www.press.uchicago.edu/Misc/Chicago/49""","""Oh he wo n't read that ... This American in exile ( does not even live"""
8502,""". So , you have no problem with the fact that this is abortion and was caused""","""See also above ."""
7603,"""I have to ask : have you actually read what you just quoted ? I know that""","""Can you please tell me the difference between nonrandom variation and directed variation ? I '"""
3668,""". hey D , i am not going to get attitude w/ you .. i do""","""Did I say that. Did I ever say that ?"""
3673,"""Many on the religious right claim a belief in the existence of Satan and blame him for""","""• People need a solution for the Problem of Evil . Â• People want to"""
8397,""". Again , this is evidence only to suggest not prove . I can not prove nor""","""1. If you wrote this in response to my post , please note that I said"""
468,"""`` Moths are not known to be able to mate with other moths. ``""","""And yet, there are no wild moths in the wild. And only a ``"""
4031,"""Australia Crime | Robberies , Assaults and Convictions in Australia | Finda""","""I'm not telling anyone to , but me personally I 'd find something on the"""
4068,"""Okay, so that was a bit of a rant. Now , my anti social side""",""". Just curious , how legal is that ?"""
8486,"""It 's senseless not to believe that Abortion is Planned Parenthood 's # 1 re""","""As far as Planned Parenthood is concerned , they are like any other medical facility , saying"""
4609,"""So that's it. Well for what it 's worth , the police prefer to""","""My first line of defense is of most importance and close range firefight is likley"""
1418,"""2. Genisis 19:30-36 And Lot went up out of Zo""","""3. So both daughters get married to the same guy, and then they go to"""
5352,""". Well , pro-choicers , I wish all of you had never been""","""I am pro-life. I believe you mean pro-choice , do n't"""
2068,"""If the homeowner got close enough to strangle the burglar , he certainly could have""","""Man Shoots Fiancee Day Before Wedding - CBS NewsI don't like guns"""
254,"""U.S. Congressman Alan Grayson , Florida : Think Progress GraysonÂ ’ s""",""". So you have a scumbag democrat screeching hate speech and we are supposed"""
3158,"""They should be ashamed of themselves. They should be discredited , and their hypocrisy should be""","""Ok. So , in order to be against gay marriage , a person has to be"""
1933,"""Ah , how icky the hypocrisy smells . Louisiana Republican Senator David Vitter , one""",""". People with big egos have libidos that keep up . what 's"""
7291,"""Satan. Well , Satan was invented to explain why there is evil in the world""","""1. A Jungian might suggest such a stance . In other words , one ("""
3092,"""I don't think it's a good idea to ask a child what a `` rubber""",""". See above . Give kids credit . You give them a bogus answer and they will"""
2674,"""The Heller Decision has been upheld by the Supreme Court. Even new Justice Sotomay""","""The courts are bound by Heller. What 's your point ? Of course they will"""
255,"""Mr. Shooter , so a cop is reporting to the scene and there you are packing""","""Because you're not going to shoot the guy. Because hopefully you 're going to"""
2563,"""3. It seems to me that the non-physical , spiritual entity otherwise known as""","""I have never heard of such a thing. I hardly see why you feel called upon"""
1416,"""In the former case there are fewer divorces. In the latter case , that '""",""". Good . The less moronic `` spirituality `` in each state the better . Let"""
20,""". Actually , I strongly disagree with gay marriage anyway . It just is n't marriage""","""3. Because you say so ?"""
8491,"""And in November the democrats will lose full control of the house and senate , and""",""". You wish . I doubt that it shall be so ."""
1668,""". Yeah , stupid Rosa Parks . What was she thinking ? She did n't realize""","""4. You consider the county to be like Rosa Parks ? ? ?"""
256,"""3. Fight back , by all means - when necessary . But if you can legally""","""3. The attacker is usually armed in spite of gun control laws . All they do"""
8006,"""( p. 2 ) Jyoshu 's explanation spelled out a theoretical approach""",""". and thats different and contrary to what jyoshu posted . can a straight"""
4928,"""No. No Electrolyte , science lies ! here is the undisputed truth :""","""Thanks for clearing that up Mutz . I 've always known that putting every living"""
8883,"""Hello , I am a 16 year old girl living in Los Angeles, CA , and""","""is accompanied by a parent or guardian or 12403.7 of the Penal Code provides"""
4064,"""1. Among other things , the newborn must obtain its own oxygen and its own nour""","""I don't get it. So , if a baby is having trouble breathing that '"""
4159,"""* * * *. Now look here , boy , I 'm tired of you""","""A. So you 're actually claiming that it is a lie to say that the"""
789,"""The pro-life people are right. Unfortunately , as with so much of the pro""","""Pro- choice does n't distort ? That alone shows an unreasonable look on the issue"""
4032,"""Not really. Not really . That 's the fallacy of exclusion of the middle .""","""You know that. You know that , I know that . but the creationists do"""
2838,"""There 's just enough truth in that statement to keep me from saying it 's""","""I dont believe in god , and jesus etc , but think the bible is"""
23,"""Fossilization takes time. Then , there are various fossilization mechanisms . I""","""Fossils. Well , Google is your friend here - try fossil and see what"""
51,"""I don't know what to say about this. The IRA comes to mind . Or""","""Just so you know. Just so you do n't shoot them !"""
3575,"""Of course , they threw in that he 's a prof. of Electrical Engineering -""","""3. Electrical engineers have a pretty poor track record when discussing issues that have nothing to"""
5897,""". Yes , they were confiscated , but they were not `` legally `` owned , as""","""And if you read the article ( if ) what about the other half ? I don"""
5458,"""This is the simple truth. If evolutionists were honest , they would admit this simple""","""3. Generally ... And when one does ?"""
3794,"""6 `` http : //www.hsph.harvard.edu/research ...""","""The Brady Campaign and Violence Policy Center can come up with only a handful of incidents where"""
113,"""3. Getting back to the original question ... yes , i think it is very reasonable""","""No one is really `` for `` abortions , but they think that it 's the"""
2868,"""1. Â ” By creation we mean the bringing into being by a supernatural""","""Here we have a leading YEC showing how he starts with his preexisting religious"""
8005,"""= As I said humans follow three catgories , self-preservation , the""","""I have a question. It may not seem linked to the topic but something you said"""
1389,"""I think you are misinterpreting what I am saying . I am not saying""","""1. If our core is our mind , what is the mind ? It is the"""
117,"""Of course , what the mind is capable of creating , it can then also * heal""","""Thank you. So can women can cure themselves ? Is that what you mean ? Or"""
3792,"""Opinion .. a pro choice person ... has presented the only consistent argument on the""","""3. But can you answer simone or jito 's argument 's successfully"""
5436,"""No. No , I would n't want a law like that , and I already""","""I don't know what to make of this. More evidence of your selfish motives ,"""
9129,""" Originally posted by voiceofreason Well if you 're going to quote that article that""","""`` The ATF is trying to single out gun manufactures to be responsible for policing customers ."""
1693,""". Fortunately , your beliefs are not facts .""","""My life isn't perfect. Neither are yours . * GEE * * gasp *"""
4424,"""Quote : Guns were used in 4,120 robberies last year - a 10 % jump""","""Gun crime has been rising despite the strict gun laws of England . The statistics show both"""
7312,""". pandion : I thought I had worded my post quite clearly . I even""","""1. Well , I was kind of hoping that my questioning would encourage you to provide"""
5945,"""It 's official : Kansas is now the latest state to ban govt . recognition""","""Kansas is ready to pass legislation approving civil unions for same-sex couples without court intervention"""
6029,""" Originally posted by lurch I like the name . Beagle 2 . However , there""","""I 'm not going to comment on the age of the universe. I 'm"""
7680,"""I do not change my stance ever , i am personally against abortion , but i do""",""". See , this is the same logic used by the slaver owners . If one"""
2790,""". ... to curtail abortions . Any woman who has an abortion for convenience only ( not""","""JAMES WALKER: I agree. I personally think you go after the butcher"""
3872,""". No . Anyone who sticks to beliefs that a god created the earth just 6,""",""". So , one set of creationists are XXXXXX , but the others are"""
278,"""Too late. Too late . It 's already been done . One thing I learned""",""". and thus a reason to support balanced reporting . true , there are indisputable facts"""
2559,"""I understand that you want to protect yourself. Fair enough . But are there other things""","""I don't know. Well I suppose I could 've always put up a sign"""
3770,"""3. Wrong as usual . Whenever a church strays from the entire word of G""",""". So the entire Catholic Church is nothing more then a social club ?"""
187,"""No. 1 . Did she do anything wrong ?""","""Yes , she did. Yes , she walked down the wrong alley , alone . Would"""
9477,"""1. ... If we do exist , there are only two possible explanations as to how""","""1. This is a false dichotomy . We are limited by the English language on"""
279,"""Letter to the EditorDear Editor,I am not a person. This 'person '""","""1. Yes , a foetus is human , made of human cells , and possessing"""
7439,"""Only as far as every murder is evidence of failure of homicide laws . In other words""","""No , it is not counter to any agenda ! If you turn on your allies during"""
3814,"""`` Douglas Futuyma is a PHD at the University of Michagan . Douglas""","""Oh ohhh ! Appeal to authority ! Appeal To authority ! There 're no authorities"""
5736,"""I 'm not sure about your conclusion here : `` The legislature is required to consider""","""I'm not sure how else to square the two except that the legislature should pursue final"""
666,"""That 's diversity. That 's real diversity . Disagreeing but not being""","""If he is allowed to have the belief that it is wrong or a sin then others"""
3857,"""I agree with you. I admire your zeal . I agree God is real . However""",""". ya i am trying to work on that stuff . ummm my debate is to"""
4182,"""Letter to the Editor: I hope BOA takes action against SEIU. I hope""","""Nobody but you has suggested that the schools are out any money except for you , and"""
5768,"""1. If I bear witness of myself , my witness is not true . - John""","""1. You forgot to fully quote John 8:18. here is the rest :"""
2671,"""There is a very good book on this subject Starlight and Time if you are interested""","""http : //www.trueorigin.com/hovfaq/starbright."""
560,"""It would have been better if Scalia had said to himself when the case was brought before""",""". And if that was the accepted rule for Constitutional interpretation we would still have Jim Crow"""
5067,"""It would have been better if Scalia had said to himself when the case was brought before""","""You seem to forget we already tried this standard . And it 's for this reason"""
964,"""Right. Wrong again . If she supported bans on all guns then why would she say""","""Because she DOESN'T support a ban on all firearms. Because she , like"""
8438,"""`` Lott 's use of a fake persona , ' Mary Rosh , '""","""1. This is not nearly as uncommon as people seem to think . i am guilty"""
2642,"""3. I do n't see the size of the universe as having any implications one""","""1. How big is the universe ? Are there two divisions - the observable , and"""
2860,""". And since we are whipping out fmaily ties . My son 's father""","""I think I hear a bell dinging ! ! Ding ! Ding . I think I"""
4756,"""I was not trying to make a point about innaccuracies in the Bible.""","""I don’t know what to say about this. I know you think I"""
3576,"""NO. 2 . REPEAL NEW RULES ALLOWING CONCEAL""","""5. So even though you can legally conceal carry right up to the gate of the"""
7261,"""3. Sarah Brady is a straw purchaser then . She knowingly broke the law by buying""","""'She's a criminal. She did n't buy a gun for a criminal ."""
1718,"""Hi everyone. I just want to thank the Forum participants for making my Saturday quite nice""","""Wow. wow .... there is a real person under there . Good luck on your recovery"""
3757,"""Quote : Would you agree if the death penalty was banned ? No , for the reasons""","""3. So , in summary , you are n't against the death penalty on principle"""
9494,"""5. At any rate , the world is n't over populated . The entire world""","""You are wrong. You do n't seem to understand the concept of overpopulation ."""
7658,"""Many think third trimester is ok . The trimester thing does n't mean anything""","""I was hoping you would take the bait. Well , it worked . I was hoping"""
7314,"""3. In regards to who wrote these books , the best evidence we have leads to""","""4. Nonsense . The most widely accepted idea is that these epics were oral"""
9476,"""1. `` I hardly think that the sole or most important difference between a blastocy""","""Letter to the Editor: I just wanted to take an opportunity to say that I built"""
3347,"""38 There has been a decrease in diversity ( probably due to global catastrophes )""","""No , it 's not . The conditions under which evolution operated during the Cambrian"""
6674,"""1. There are in fact no transitional fossils known . Some believe there are because they""","""7. So do you think that the earth is hundreds of millions of years old ?"""
5809,"""Look again. Look again . This time , try and put yourself into the time the""",""". .... says the one making stuff up . Creation is so wrong on so many levels"""
2517,""". 1d . A union between two persons having the customary but usually not the legal""","""This is not to say that every dictionary includes such a definition ... yet ... but a"""
8063,"""10. `` Obviously it would be difficult for any committee to double-check every allegation""",""". Yes , and their final report was essentially that , while they did not review every"""
2954,"""1. First Paragraph : `` christianity is living a lifstyle patterned""","""so what about jesus ' life is credible if the gospels are unreliable ?"""
3653,"""Ya ya ya the big bang .. but where did the pool of amoeb""","""Praying for the Pope. You mean Priests ? Because I hear the ladies"""
6329,"""Genesis 1 is what was passed down through Noah , in Oral history , so it""",""". So , some parts of the Bible are erroneous oral history after all ! What a"""
7264,""". ... how can matter bring about something that is not matter""","""Yeah. You mean like music ?"""
5506,"""... or of people ( since people contradict each other , which would mean they were n""","""Well they are. Well they are of people and if logic is followed , contradiction does"""
324,""". ... Organs , a nervious system , a brain , all these are the""","""Fetuses are not people. Actually they are what make us animals . It '"""
5066,"""Dr. Phil Kline is anti-choice and filed suit against an abortion clinic ?""","""Yes , the article said it succinctly and I felt no real need to expand on"""
3260,"""4. What about other 'rational ' alternatives to your version of evolution ; such as""","""1. Intelligent design comes in many flavors too . ID that submits as a designer"""
4610,""" Nope . He was a great man who did n't believe in your cradle to grave""","""A sign like that would hardly be nessecary where I live . We have"""
3662,""". * * Derived from the materialist Hobbesian view that 'life/""","""Solitary confinement is one of the worst punishments short of serious physical damage . Sol"""
6333,"""No. I would say no ....... I mean if you can believe in God ,""","""1. I believe the question was `` who ? `` I 'm christian and"""
3160,"""'' My mother-in-law died in childbirth when I was a teenager and my""","""I don't understand this. And were THIS the 17th century , I might understand"""
559,"""'' First off this is not an accurate depiction of atheism . Atheism does n't""","""3. Where is your evidence of `` no God `` Atheism is a curse !"""
6088,"""'' They have a right to free speech. '' Does n't that seem hypocritical for""","""I don't understand. How does anyone deny someone the right to believe something ? I"""
5841,"""Another recommendation calls for the FBI to notify local and state law enforcement every time a person""","""Ok. Where am I getting with this ? The bill that would allow the Attorney General"""
9139,""". '' Sturm Gewehr `` ( pronounced-sturm ge-""","""I don't know. Thanks .... I was too lazy to look it up ...."""
4486,"""''Good is evil. '' Is n't evil the absence of good ? ``""","""2. Someone who does evil things is n't simply not doing good things , he"""
5944,"""10. `` Researchers from Knox College find that male college students who held a gun rather""","""1. Plenty of problems with that `` study `` and parts of it are just hilarious"""
3875,""". i think slave holder 's asked a similar question to people who believed slavery was""","""The only thing different here is that it has no brain , no thinking skills , no"""
6782,"""Former U.S. Supreme Court Justice Stevens also made a similar criticism . '' With""","""Is there a point here ? I don't think there is a point. Is there"""
8510,"""The anti-gay side really does n't have much to work with ; it '""",""". This will be interesting . I 'm Keeping my fingers crossed ."""
7354,"""I 'm curious as to everyone 's opinion on this .. I 'm""","""Both are ok by me : P"""
3665,""". I 'm not against concealed carry in principle but open carry seems silly to me""","""To each his own ... if you got it - flaunt it . To each his"""
2272,"""The former , of course . I 'm not anti-marriage . In fact I""","""You wrote that you do not see the benefits of same-sex marriage . I know"""
1162,""". The `` black market `` does n't deal in homemade weapons . They 're""","""If they 're stolen that means that they're illegally possessed by a currently illegal"""
2202,"""Hi. You 're telling me that evolution is n't biologically true ? So the""",""". And where , pray tell are you pulling THIS strawman from ?"""
1361,""". There 's an abortion pill ? News to me . I thought there was only""",""". Oh my goodness . This is a trick called semantics . I guess you got sucked"""
5065,""". Come on , it 's Andy Schlafly . What do you expect from""",""". Oh , that explains a lot . I actually forgot who she was , had to"""
8881,"""It 's kind of silly that you call it a `` clump of cells ``""",""". Yes , but our cells , are functional . It 's cells are not yet"""
824,"""It 's not likely the GOP senate will pass it , of course , but who""","""Do n't count on it . Republicans do not believe in equality , individual freedom ,"""
1417,"""`` It 's not nice we have to arm ourselves like the soldiers in Iraq ,""","""Oh. You mean with brand new machineguns that no civilian can possibly own ?"""
4487,"""Dr. Dr Gillian Leng , Nice deputy chief executive , said 'The committee""","""So , what is the current treatment and how effective is it ? Obviously it is more"""
257,""". I 've also been explained how random mutations get selected , which supposedly leads to""",""". Well that does make sense given that one would not expect you to understand environmental pressures"""
305,"""""I'm not a scientist. I 've been telling this board for months that""",""". Actually , it is . There are multitudes of known characteristics that have been shown"""
9818,"""1. Â ‘ Our ways of learning about the world are strongly influenced by""",""". all people are biased , so all science is wrong"""
3088,"""Sarah Brady ( 9 . ) Sarah Brady hates guns and wants to ban all firearms from""","""3. Sarah Brady is a straw purchaser then . She knowingly broke the law by buying"""
6581,"""1. Men ( and women for that matter ) are n't `` created equal .""","""Clive , we are talking about the Roe vs Wade case here .. I know they"""
9816,"""1. Life comes from Life ( basic science ) yet , evolution breaks that rule ...""",""". And what `` basic science `` would that be ? Did you look up `` self"""
5896,"""[ i ] ( Before reading this , please know that I make no value judgements""","""I don't know if I would call it an abortion. I know that sometimes when"""
3573,"""That makes sense. That makes my point , thanks ! ( Of course you did n""","""Actually , I don't think that the fact that WSM and I were both in"""
3760,""". 1 ) ... 2 ) ... 3 ) ...""",""". Why do n't you just sum it up with `` If you 're not"""
4925,"""(Fig. 1 ) I would consider a transitional fossil one which contains parts from both""",""". So what 's wrong with the lineages provided ? Define `` meld"""
1415,"""2. 1 ) What did the bear replace ? 2 ) What was the lion replace""",""". Your use of the word `` replace `` reveals your ignorance of evolution ."""
6183,""". [ snip ] of unsupported , rambling assertion .""","""Nothing. Nothing but unfounded assertion . No evidence at all . Just wishing and hoping ."""
6408,"""[ The Law of Angular Momentum states that if an object breaks apart in a friction""","""The law of angular momentum does not require that all parts of a spinning object spin in"""
6546,""". [ to supersport ] Please show me an example of a peppered moth that""","""3. He 's been avoiding this challenge for months . It should be really easy"""
1506,"""paulie ] at the same time that what occurs in the human body does not""","""The vessel is the life force of the universe. Yet without it the vessel is just"""
2401,"""1. * * The `` methodology `` of science is not materialism/mechan""","""3. And just how does your description differ from materialism not one bloody jot"""
5900,""". # 4 Getting back to the abortion debate ,""","""Thank you. Thank you ."""
5435,"""* Interestingly , those injured in the Virginia Tech shooting and those who lost loved ones have""",""". Because they 're hoplophobe sissies ."""
3991,"""* * * & # 8226 ; Health costs . From the outset , the White""","""Collection of payroll taxes for the new plan will begin Jan. 2010 , but benefits do"""
5805,"""[ /i ] In an interview with The New York Times , Sen. Bernie Sanders""",""". Huh ? I 'd love to live in a world where abortions were never necessary"""
1362,"""`` It 's not the legislature , it 's with the courts , `` Cu""","""Letter: Where in the constitution does it say something about health having to be protected ?"""
3978,""". . How many times have you heard , `` It 's in the genes ....""","""Well , they still do account for a fair bit of our observations of evolution . The"""
5764,"""L . BATTEN , Columbia U. ARBITRARY ARRANGEMENT""","""The similarity between mammals and single-celled organisms and `` simple organisms `` ( those"""
1391,"""3. The title suggests that either pathway is possible . Yet no evidence has been presented""","""2. So ? Both are suggesting primate two-way evolution . Hence 'connection"""
4028,"""It seems to me that abortion is murder, and miscarriage is manslaughter. It seems to""","""Miscarriage is not manslaughter. Manslaughter involves a direct action that causes an"""
3981,"""3. It is easy to look at such a vote and quote the slogan `` a""","""Well , I have to disagree with you ( and I know you are n't surprised"""
